                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3043,                 1.8362,                  1.191,                0.24033,                0.43929,                0.46728,                0.30108,                 1.3079,                 3.8874,                 1.0632,             0.00054065,             0.00054065,             0.00054065
                      1,                 1.4358,                 1.6204,                 1.2908,                0.40063,                 0.3344,                0.38032,                0.22509,                 1.7129,                 6.3428,                  1.362,              0.0010927,              0.0010927,              0.0010927
                      2,                 1.6404,                 1.6681,                 1.3818,                0.21074,                0.21891,                0.14756,                0.07958,                 1.9463,                 4.9785,                  1.728,              0.0016411,              0.0016411,              0.0016411
                      3,                 1.6136,                 1.6056,                 1.4025,                0.51155,                0.18929,                0.00955,                0.00349,                 2.0524,                 20.148,                 1.6057,              0.0016505,              0.0016505,              0.0016505
                      4,                 1.6367,                 1.5164,                 1.4206,                0.72412,                0.33571,                0.23872,                0.12195,                 1.7186,                 3.7601,                 1.3999,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.6177,                 1.4521,                 1.4328,                0.33809,                0.38903,                0.35517,                0.21047,                  1.481,                 2.0929,                 1.2367,               0.001645,               0.001645,               0.001645
                      6,                 1.6441,                 1.5148,                 1.4533,                0.12327,                0.26071,                0.11295,                   0.06,                 1.7371,                 5.0878,                 1.4271,              0.0016395,              0.0016395,              0.0016395
                      7,                  1.658,                 1.4861,                 1.4289,                 0.3071,                0.30112,                0.27756,                0.15288,                 1.6798,                 3.1278,                 1.3561,               0.001634,               0.001634,               0.001634
                      8,                 1.5789,                   1.38,                 1.3982,                0.65666,                0.53769,                0.59134,                0.34375,                 1.4712,                 1.4152,                 1.2299,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.5123,                 1.2506,                 1.3452,                0.70418,                0.44554,                0.51188,                0.28108,                 1.6508,                 1.6717,                   1.31,               0.001623,               0.001623,               0.001623
                     10,                  1.557,                 1.3177,                 1.3593,                0.49081,                0.44676,                0.45692,                0.27331,                 1.5086,                 1.7136,                 1.2447,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.5037,                 1.2513,                 1.3467,                0.72917,                0.52087,                0.58224,                0.32023,                 1.6015,                 1.4118,                 1.2823,               0.001612,               0.001612,               0.001612
                     12,                 1.4676,                  1.178,                 1.3272,                0.57963,                0.47946,                0.51766,                0.29498,                 1.4719,                 1.5083,                 1.2324,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.4522,                 1.1879,                 1.2991,                0.61716,                0.50727,                0.52505,                0.32441,                   1.44,                 1.4385,                 1.1969,               0.001601,               0.001601,               0.001601
                     14,                 1.5245,                 1.1803,                 1.3249,                0.55595,                0.43884,                0.47656,                0.26305,                 1.5592,                  1.593,                 1.2522,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.3916,                 1.1149,                 1.2935,                 0.6541,                0.52103,                0.57868,                0.33577,                 1.4368,                 1.4053,                 1.2224,                0.00159,                0.00159,                0.00159
